2024-06-16 20:37:16.721 WARN Main : WARN
2024-06-16 20:37:16.732 ERROR Main : ERROR
2024-06-16 20:37:16.733 FATAL Main : FATAL
2024-06-16 20:37:16.742 WARN Main : waiting for link to connect
2024-06-16 20:37:16.742 INFO osc.OscSynced : creating synced value for /peers
2024-06-16 20:37:16.740 INFO osc.OscSynced : creating synced value for /linkConnected
2024-06-16 20:37:16.742 INFO osc.OscSynced : creating synced value for /bpm
2024-06-16 20:37:16.834 INFO Link : connecting to ableton link...
2024-06-16 20:37:17.268 INFO osc.OscSynced : creating synced value for /sprite_FX/label/0
2024-06-16 20:37:17.268 INFO osc.OscSynced : creating synced value for /sprite_FX/label/1
2024-06-16 20:37:17.268 INFO osc.OscSynced : creating synced value for /sprite_FX/label/2
2024-06-16 20:37:17.268 INFO osc.OscSynced : creating synced value for /sprite_FX/label/3
2024-06-16 20:37:17.268 INFO osc.OscSynced : creating synced value for /sprite_FX/label/4
2024-06-16 20:37:17.268 INFO osc.OscSynced : creating synced value for /sprite_FX/label/5
2024-06-16 20:37:17.268 INFO osc.OscSynced : creating synced value for /sprite_FX/label/6
2024-06-16 20:37:17.268 INFO osc.OscSynced : creating synced value for /sprite_FX/label/7
2024-06-16 20:37:17.268 INFO osc.OscSynced : creating synced value for /sprite_FX/label/8
2024-06-16 20:37:17.268 INFO osc.OscSynced : creating synced value for /sprite_FX/label/9
2024-06-16 20:37:17.268 INFO osc.OscSynced : creating synced value for /sprite_FX/label/10
2024-06-16 20:37:17.269 INFO osc.OscSynced : creating synced value for /sprite_FX/label/11
2024-06-16 20:37:17.269 INFO osc.OscSynced : creating synced value for /sprite_FX/label/12
2024-06-16 20:37:17.269 INFO osc.OscSynced : creating synced value for /sprite_FX/label/13
2024-06-16 20:37:17.269 INFO osc.OscSynced : creating synced value for /sprite_FX/label/14
2024-06-16 20:37:17.269 INFO osc.OscSynced : creating synced value for /sprite_FX/label/15
